Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Ford,Focus,30.619,6.0,94.03,1497.17,petrol,814172.0,422731.0,56487.0,1293390.0
Ford,Fiesta,18.532,5.0,68.57,1166.14,petrol,554879.0,631666.0,54057.0,1240602.0
Volkswagen,Golf,31.242,6.0,89.46,1537.41,petrol,483216.0,310604.0,47563.0,841383.0
Renault,Clio,22.1,6.0,75.58,1219.65,petrol,241287.0,312556.0,28004.0,581847.0
BMW,320i,47.848,6.0,126.11,1995.78,petrol,408016.0,115843.0,29125.0,552984.0
Volkswagen,Polo,18.192,5.0,60.96,1408.06,petrol,216333.0,299110.0,31701.0,547144.0
Peugeot,206,20.034,5.0,71.33,1631.5,petrol,178698.0,250614.0,26135.0,455447.0
Ford,Mondeo,39.974,2.0,130.25,1998.5,petrol,357452.0,69603.0,16550.0,443605.0
Nissan,Micra,20.378,5.0,67.96,1279.7,petrol,143218.0,253000.0,26619.0,422837.0
Honda,Civic,29.943,4.0,106.22,1480.58,petrol,242188.0,132958.0,21042.0,396188.0
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,102708.0,269428.0,20324.0,392460.0
Renault,Megane,26.45,5.0,87.31,1623.79,petrol,209379.0,156607.0,21049.0,387035.0
Toyota,Yaris,20.721,4.0,74.4,1397.8,petrol,137907.0,214944.0,27670.0,380521.0
Mercedes,CLA,46.527,7.0,131.6,1596.92,petrol,209476.0,69373.0,17242.0,296091.0
Audi,A4,57.927,6.0,149.71,2283.11,petrol,202037.0,59936.0,13629.0,275602.0
Volkswagen,Passat,46.065,6.0,125.44,1835.85,petrol,211510.0,48599.0,14505.0,274614.0
Honda,Jazz,26.352,0.0,80.0,1498.0,petrol,105551.0,136875.0,15698.0,258124.0
Audi,A3,36.219,6.0,94.33,1424.67,petrol,144962.0,97033.0,14460.0,256455.0
Peugeot,307,27.465,5.0,86.45,1723.0,petrol,132728.0,108991.0,14395.0,256114.0
Peugeot,207,21.702,5.0,79.77,1536.0,petrol,99472.0,138839.0,13442.0,251753.0
Citroen,Xsara,22.362,5.0,72.58,1743.44,petrol,145377.0,87029.0,11519.0,243925.0
Skoda,Fabia,19.008,5.0,66.97,1292.35,petrol,109408.0,87532.0,10776.0,207716.0
BMW,118i,37.426,6.0,104.2,1796.6,petrol,103719.0,87660.0,11806.0,203185.0
Ford,Focus,30.619,6.0,94.03,1497.17,petrol,8087.0,3372.0,550.0,12009.0
Land-Rover,Freelander,43.864,5.0,105.17,2083.52,diesel,118279.0,59369.0,9921.0,187569.0
Citroen,C3,22.904,5.0,75.65,1364.0,petrol,78551.0,98254.0,9893.0,186698.0
Toyota,Corolla,27.239,3.0,91.61,1677.95,petrol,104996.0,67184.0,12042.0,184222.0
BMW,535i,93.714,8.0,225.0,2979.0,petrol,138584.0,21302.0,9443.0,169329.0
Toyota,Avensis,37.315,4.0,103.68,1873.26,petrol,123806.0,29728.0,9574.0,163108.0
Mercedes,E,78.073,8.0,192.4,2598.82,petrol,125070.0,24029.0,9465.0,158564.0
Renault,Scenic,32.063,6.0,89.35,1472.83,diesel,85989.0,62467.0,8346.0,156802.0
Seat,Ibiza,19.938,6.0,76.32,1205.19,petrol,74717.0,73895.0,6282.0,154894.0
Seat,Ibiza,19.938,6.0,76.32,1205.19,petrol,8087.0,3372.0,550.0,12009.0
Land-Rover,Discovery,107.452,5.0,182.57,2425.43,diesel,112207.0,29981.0,6388.0,148576.0
Land-Rover,Range,107.671,8.0,196.34,2521.09,diesel,107520.0,34079.0,6847.0,148446.0
Nissan,Qashqai+2,34.936,5.0,97.72,1820.66,diesel,79290.0,56539.0,8830.0,144659.0
Skoda,Octavia,30.651,6.0,95.0,1136.69,petrol,110428.0,25662.0,6147.0,142237.0
Fiat,500L,26.292,6.0,74.73,1186.33,diesel,30349.0,102113.0,8177.0,140639.0
Mercedes,A,31.105,5.0,93.01,1699.12,petrol,55510.0,68928.0,9727.0,134165.0
Nissan,Almera,22.782,5.0,81.67,1847.67,petrol,78034.0,44706.0,7892.0,130632.0
Citroen,C4,29.26,6.0,90.62,1462.36,petrol,79604.0,42130.0,5547.0,127281.0
Citroen,C5,41.203,6.0,104.23,1462.36,petrol,79604.0,42130.0,5547.0,127281.0
Citroen,C6,2.26,8.0,111.44,1462.36,petrol,79604.0,42130.0,5547.0,127281.0
Mini,Two,3.56,6.0,111.44,1462.36,petrol,79604.0,42130.0,5547.0,127281.0
Mini,One,24.095,6.0,68.75,1498.25,petrol,29548.0,87974.0,7427.0,124949.0
Toyota,RAV4,43.549,1.0,137.77,2261.19,petrol,59395.0,54005.0,8166.0,121566.0
Toyota,RAV5,4.355,1.0,111.44,2261.19,petrol,59395.0,54005.0,8166.0,121566.0
Saab,9-3X,49.286,6.0,145.0,1963.67,petrol,84741.0,27948.0,6616.0,119305.0
Peugeot,107,11.143,5.0,50.0,998.0,petrol,32821.0,73891.0,5917.0,112629.0
Toyota,Aygo,15.209,5.0,53.0,998.0,petrol,33395.0,66147.0,7814.0,107356.0
Hyundai,I10,16.011,5.0,51.78,998.0,petrol,39242.0,63346.0,4208.0,106796.0
Hyundai,I11,1.601,5.0,111.44,998.0,petrol,39242.0,63346.0,4208.0,106796.0
Audi,A6,82.061,8.0,199.73,2790.45,diesel,85861.0,15146.0,5507.0,106514.0
Kia,Picanto,16.592,5.0,52.85,998.0,petrol,36803.0,64725.0,3857.0,105385.0
Toyota,Aygo,15.209,5.0,53.0,998.0,petrol,8087.0,3372.0,550.0,12009.0
Nissan,Note,19.319,5.0,66.43,1348.29,diesel,54195.0,41756.0,5908.0,101859.0
Seat,Leon,32.94,6.0,114.82,1615.37,petrol,65505.0,30221.0,3778.0,99504.0
Jaguar,XE,65.569,8.0,167.25,1998.0,petrol,79176.0,13946.0,3968.0,97090.0
Ford,Fusion,19.379,5.0,61.27,1470.91,petrol,51517.0,41027.0,4395.0,96939.0
Honda,Accord,39.4,6.0,117.71,2151.65,petrol,74157.0,15889.0,5274.0,95320.0
Mazda,MX-5,37.469,6.0,103.43,1718.57,petrol,47900.0,39519.0,5986.0,93405.0
Mazda,6,42.669,6.0,118.19,2095.19,petrol,71632.0,17216.0,4536.0,93384.0
Citroen,C1,13.486,5.0,52.38,1028.92,petrol,30691.0,57228.0,4503.0,92422.0
Suzuki,Swift,19.085,4.0,68.91,1180.55,petrol,34918.0,49829.0,6070.0,90817.0
Ford,Galaxy,53.786,6.0,124.86,1855.0,diesel,60515.0,24893.0,5151.0,90559.0
Peugeot,308,32.331,6.0,103.11,1482.5,petrol,50045.0,36010.0,4024.0,90079.0
Mazda,3,30.995,6.0,101.89,1905.63,petrol,52309.0,32724.0,4647.0,89680.0
Audi,TT,64.592,7.0,178.56,2011.56,petrol,45707.0,37950.0,5714.0,89371.0
Renault,Laguna,34.021,6.0,99.0,1920.03,diesel,66613.0,16346.0,3850.0,86809.0
Mazda,2,21.6,6.0,64.62,1496.0,petrol,29852.0,51314.0,5032.0,86198.0
Fiat,Panda,10.424,5.0,52.44,1095.78,petrol,34789.0,42772.0,4671.0,82232.0
Toyota,Auris,26.973,3.0,85.69,1515.28,petrol,47251.0,30032.0,4747.0,82030.0
Peugeot,306,18.643,5.0,67.0,1698.64,petrol,50801.0,26596.0,3897.0,81294.0
Peugeot,106,12.356,5.0,53.88,1366.29,petrol,41148.0,35920.0,3722.0,80790.0
Volvo,V70,50.961,6.0,135.29,1971.16,diesel,59903.0,14323.0,4431.0,78657.0
Citroen,Saxo,12.33,5.0,53.82,1367.27,petrol,38039.0,33281.0,3354.0,74674.0
Volkswagen,Touran,32.986,6.0,94.04,1528.81,diesel,41330.0,24181.0,4531.0,70042.0
Volkswagen,Beetle,33.25,6.0,112.75,1475.0,petrol,16475.0,48750.0,4776.0,70001.0
Kia,Rio,22.959,6.0,80.0,998.0,petrol,36610.0,28881.0,2239.0,67730.0
Ford,C-MAX,32.182,6.0,99.0,1448.6,petrol,39067.0,22899.0,2336.0,64302.0
BMW,X5,113.269,8.0,246.33,2994.67,diesel,45819.0,14588.0,3268.0,63675.0
Nissan,Juke,28.231,6.0,86.0,999.0,petrol,24663.0,32045.0,5707.0,62415.0
Suzuki,Vitara,26.803,5.0,85.71,1310.0,petrol,34682.0,23094.0,3559.0,61335.0
